,.TRXFLDHDTE1,.TRXFLDHDTF1,.TRXFLDHDTF4,.TRXFLDHDTH2,.TRXFLDHDTI1,.TRXFLDHDTI2,.TRXFLDHDTI4,.TRXFLDHDTM2,.TRXFLDHDTM3,.TRXFLDHDTN1,.TRXFLDHDTT1,.TRXFLDHDTU1,.TRXFLDHDTY2,.TRXFLDHDTY3,.TRXFLDHDTY4,.TRXFLDHDTE2,.TRXFLDHDTH1
2017-10-20,0.00045772536392650804,0.00035417363065709566,0.00040635135135723476,0.0002657602020529006,0.0002934168530267837,0.00043421425690128105,0.00026722222485165234,0.0006294012926730002,0.00023650842669809037,0.0002675300292259679,0.0004161925178018586,0.0002615911705297213,0.00029791600839390635,0.0003242383929439189,0.00026814344786943466,0.00062992726234685,0.000532147325831679
2017-11-17,0.0004282283487777159,0.0003334613206676083,0.0003949214341589666,0.00028408564849353963,0.000287968648874548,0.00042461738822423755,0.00025981851933860406,0.0005874241655681848,0.000222644808075457,0.00026187229806378493,0.00040316373461491084,0.00025017367793963435,0.0002864262286277302,0.0003396736021543015,0.0002684638822876656,0.0005876710245272886,0.0004973179154839479
2017-12-15,0.0005426160398764027,0.00042800656169829224,0.000489806987902644,0.00032529543001441407,0.0003334897773891495,0.000510992251880161,0.0003079770100666368,0.0006951488408931478,0.00023702538896608666,0.0003130344240914051,0.0004872811932629651,0.0003040140627011023,0.00033535710227732755,0.00038420305066584186,0.000325312601777791,0.0006403101602804558,0.0005949175693753043
2018-01-12,0.0005356054598142057,0.00039674534919488356,0.00046936348566737143,0.00029635697555445553,0.0003095468833059845,0.0004720259340556525,0.0002941748941249065,0.0006379180508516946,0.00020793421303850424,0.00028375881351177943,0.00044468052677705517,0.00027924436690990523,0.0003069774023083957,0.0003192552368034518,0.0003048029878005473,0.0006378256767136418,0.0005558502276984424
2018-02-09,0.0007437409483818148,0.0005610807043940032,0.0006165162990077325,0.0003807214807250301,0.00041712918628566227,0.0006109753237967851,0.0003722382347341994,0.0008531150856435988,0.00029899677793019796,0.00036893458381323144,0.0005443091917918482,0.00037254150550409594,0.0004111208450783509,0.0004482318646542393,0.00043658435771946804,0.000756811471749586,0.0007366060341496565
2018-03-09,0.0005143886483256649,0.00037576277067908606,0.0005016005071325989,0.00021590874225051014,0.00023594463474810483,0.0005032315441643864,0.00032442452914495655,0.0006554770604355979,0.00025591222887014285,0.00031707672662877675,0.00039555600057713755,0.00032153176553460626,0.000302834508018326,0.00031676595504017535,0.00036509934730749295,0.0006021135766071451,0.0005876512506056412
2018-04-06,0.00035139306550838667,0.00027798920167198887,0.0003715629272624651,6.63190465971751e-05,0.00013196747203451077,0.0003606364856479576,0.0002569233875467367,0.0004759921931796128,0.00018710633159611055,0.00022831807722502835,0.00030054404525479386,0.0002383204992355293,0.00022112361615786357,0.0001847385667895604,0.0002690577398809682,0.0003680384073290211,0.00041306226381465606
2018-05-04,0.0001136234746484134,0.00011551221485564104,0.00019868100562124588,3.176918908218136e-05,5.664556047008108e-05,0.00015927622109152022,0.00012184413655905276,0.0001882725393613375,6.541143746537702e-05,0.00015113672030601642,0.00013093699788643883,0.00012962253443480105,0.00011428903939856522,0.00014165340446418542,0.0001214791664343366,0.00020011825588502017,0.00021301762432472004
2018-06-01,0.00017762764899679462,0.00014731906954065972,0.00027773219358354225,6.763649543464513e-05,6.663051931851215e-05,0.00021964469887267003,0.000177859494537179,0.0002718867451664306,6.956855085612524e-05,0.00022909445091893473,0.00018555785488521444,0.00017307774736408774,0.00015001131248777182,0.00018772043798034172,0.00017189694934306634,0.0002834839958047246,0.0003152192205479821
2018-06-29,0.00021338587265288958,0.00018020819889943507,0.000331118118155714,7.290116305569843e-05,9.989120389950814e-05,0.00025849704528453453,0.0002062908822354461,0.000324206849442506,0.00010030934237670654,0.0002794358028111507,0.00023060419962957335,0.0001972340800581763,0.00016761026778304918,0.00021746533649466418,0.0002017899252028668,0.0003271660770926963,0.00035319169942458237
