,HSCIIT Index,HSCIH Index,HSCIEN Index,HSCICD Index,HSCIPC Index,HSCIFN Index,HSCIMT Index,HSCICS Index,HSCIUT Index,HSCITC Index,HSCIIN Index
2015-09-04,7.175075535140672e-05,1.0394800857121493e-05,0.00016716611489946798,0.00010958547208012682,0.00014569388958988566,0.0001827503583773575,0.00023971004048711344,6.272305051881111e-05,8.539484475130817e-05,6.0339159780680074e-05,0.00023188240198398493
2015-10-02,6.739508530036137e-05,1.7057120689805166e-06,0.00011360806829472765,7.279459393092957e-05,0.00010312442982020154,0.0001261200318350607,0.00016838839537826323,2.145697269568949e-05,5.2002214165980477e-05,3.7203989194896414e-05,0.0001705317450020773
2015-10-30,8.722161195513045e-05,1.7475622951591798e-05,0.00015856656387404404,8.85709848609162e-05,0.00012108133779561413,0.0001534330164719274,0.0002098121889270745,3.093273092488958e-05,6.854863445910335e-05,4.354564107215297e-05,0.00019646882876614695
2015-11-27,4.926009554799999e-05,8.718971624585017e-06,0.00011513722297300436,6.694686617202072e-05,8.651328835676184e-05,0.0001138347816019581,0.0001477723196783107,3.2147347656471966e-05,5.361252919679887e-05,2.864685020440618e-05,0.00014246839636941134
2015-12-25,-3.38143513030528e-06,1.329558175890939e-07,-6.786606653898544e-06,-3.71854337892892e-06,-4.806959736065398e-06,-6.856189035490023e-06,-9.186206661250177e-06,-1.9004738218537144e-06,-3.1229772019826414e-06,-1.4798849854105296e-06,-9.614893942900098e-06
2016-01-22,-9.849354232557634e-05,-3.837886761026871e-05,-0.0001777834628024837,-0.00010131504015805123,-0.0001236359162691867,-0.00016016007025599846,-0.00020706176401769782,-7.118818169254854e-05,-8.22153387867991e-05,-4.801884724137677e-05,-0.00021393887491955054
2016-02-19,-0.0001257866661030434,-6.620206218468538e-05,-0.0002198288096997635,-0.00012868080001269888,-0.00016411558346088594,-0.00020604917383667035,-0.00025209963286724444,-9.208542513140054e-05,-0.0001097913830399179,-6.045157351789192e-05,-0.00027222882998583
2016-03-18,-7.695438384219864e-05,-3.347886607810126e-05,-0.00012571164235576645,-7.363385464141262e-05,-9.418927887725964e-05,-0.00011861498572798701,-0.00014514145845217265,-5.325109768566017e-05,-6.302257701646916e-05,-3.364222088876135e-05,-0.00016534031193853326
2016-04-15,-4.674975860234161e-06,-3.006991026758504e-06,-7.912486153716078e-06,-5.343354709869817e-06,-6.410703782235439e-06,-7.597048605577127e-06,-9.705663484602487e-06,-3.3056605510241566e-06,-4.828813231947976e-06,-1.9710370961495595e-06,-1.1306099452755506e-05
2016-05-13,-2.4064089490653656e-05,-1.4838738601157158e-05,-4.859172637693063e-05,-2.950436186446705e-05,-3.7330962450564473e-05,-4.432185105021351e-05,-5.744132541077087e-05,-1.9301780373384995e-05,-2.4880073880798007e-05,-1.0331429286318254e-05,-6.350853445428809e-05
2016-06-10,-1.696981790122518e-05,-1.2102970633216765e-05,-3.7048491244088575e-05,-2.3824893767348628e-05,-2.8533286372846802e-05,-3.4736992439170355e-05,-4.507087889936955e-05,-1.5857611573184646e-05,-1.9527521759887883e-05,-9.248021707657492e-06,-4.810845152860208e-05
