Dates,DJUSBMT,DJUSNCT,DJUSCYT,DJUSHCT,DJUSINT,DJUSENT,DJUSTCT,DJUSTLT,DJUSUTT,DJUSFNT
30/1/2009,-0.078545191,-0.074113336,-0.087291856,-0.012902857,-0.112155298,-0.02589067,-0.026388125,-0.101508845,-0.010813733,-0.239349743
27/2/2009,-0.096510655,-0.084232908,-0.060755764,-0.11749906,-0.15595243,-0.116246499,-0.039628356,-0.030517112,-0.127220552,-0.157711254
31/3/2009,0.149362676,0.053616717,0.097305527,0.069963298,0.087202828,0.039187437,0.12411139,0.062955441,0.026068577,0.149361166
30/4/2009,0.179526066,0.073772715,0.127822394,-0.004716548,0.180057005,0.06879939,0.122628501,0.042762419,0.011253529,0.199780805
29/5/2009,0.108927997,0.060400354,-0.000969317,0.065359879,0.031739442,0.112316373,0.027107158,-0.007005443,0.043607831,0.099993475
30/6/2009,-0.051668539,0.007324699,0.000858305,0.033707865,-0.011485844,-0.051821402,0.044804124,0.008845716,0.055666004,-0.018536643
31/7/2009,0.133152485,0.092755165,0.073415362,0.05619202,0.094915631,0.047151247,0.091093876,0.047229693,0.043143297,0.088057537
31/8/2009,0.029132106,-0.000405745,0.047796033,0.022646102,0.041299131,0.005329379,0.024200112,-0.018748716,0.008271787,0.119341221
30/9/2009,0.087838281,0.043324133,0.048798276,0.015082137,0.06380838,0.055698347,0.049711268,0.032612679,0.015203308,0.021338362
30/10/2009,-0.035207662,-0.007392037,-0.021999557,-0.026785259,-0.042804406,0.020957255,-0.009555533,-0.041975058,-0.032837352,-0.054636445
30/11/2009,0.112349379,0.054899399,0.05491096,0.088092806,0.081468732,0.027084886,0.050090023,0.063075458,0.045192308,0.044636892
31/12/2009,0.024219123,0.012954844,0.035477941,0.026136555,0.024049514,-0.00220305,0.064700839,0.051020408,0.056879104,-0.000541192
29/1/2010,-0.081899386,-0.015258962,-0.023374164,0.005089476,-0.02670811,-0.043827756,-0.085623566,-0.086573526,-0.043612679,-0.015087745
26/2/2010,0.075715522,0.035485473,0.048230732,0.005110375,0.04598143,0.020712923,0.048449001,-0.005651475,-0.007626401,0.032936825
31/3/2010,0.07981911,0.049257776,0.076763006,0.032781557,0.083792723,0.029517746,0.062897168,0.060694546,0.03001265,0.087506653
30/4/2010,0.006089258,-0.001485612,0.037524157,-0.031201529,0.04624775,0.045211121,0.020366174,0.002015534,0.029660106,0.021089631
31/5/2010,-0.089713469,-0.059718916,-0.060821648,-0.07125786,-0.090924956,-0.117441934,-0.074432333,-0.047294314,-0.058655136,-0.091788492
30/6/2010,-0.076420255,-0.029431096,-0.091893232,-0.019187528,-0.069303129,-0.058283171,-0.063210407,-0.011689582,-0.008299544,-0.06215516
30/7/2010,0.119315938,0.075094056,0.0665514,0.012328697,0.092556577,0.078112693,0.074384901,0.097332222,0.072861432,0.068985804
31/8/2010,-0.020190507,-0.021416573,-0.040357214,-0.014141211,-0.070205249,-0.04234514,-0.07130533,0.015906933,0.01104594,-0.073171899
30/9/2010,0.105110096,0.060148763,0.113952937,0.094640123,0.117015722,0.096709358,0.123885286,0.08272961,0.034012604,0.065472195
29/10/2010,0.063358396,0.046639232,0.050948466,0.016881179,0.033499533,0.052397833,0.064950483,0.011569178,0.015492837,0.018391083
30/11/2010,0.027316866,-0.001761812,0.022176092,-0.024419884,0.017362682,0.058165548,-0.01148663,-0.015576324,-0.024034551,-0.0086131
31/12/2010,0.102989423,0.051849939,0.035539155,0.047406398,0.081454222,0.087581684,0.057829296,0.077726721,0.032011494,0.099071207
31/1/2011,-0.00205924,-0.016431348,0.0005979,0.005946504,0.042798091,0.07516098,0.040363283,-0.025421343,0.015314362,0.02493722
28/2/2011,0.028284386,0.033869391,0.047397103,0.034241228,0.026740544,0.073892587,0.020118558,0.024474803,0.017085344,0.028975009
31/3/2011,0.032046864,0.014629238,-0.000502042,0.0212665,0.019794377,0.014855984,-0.025075022,0.050358553,0.006848761,-0.02070522
29/4/2011,0.028714524,0.045476181,0.042398228,0.06563886,0.02683539,0.012055802,0.028211081,0.018985885,0.038911652,0.007696048
31/5/2011,-0.037554652,0.01970976,0.002256001,0.021047208,-0.024239708,-0.042833593,-0.017187797,0.018180449,0.015414755,-0.023939909
30/6/2011,-0.015651656,-0.015998809,-0.007976573,-0.014557453,-0.010145502,-0.017222925,-0.029246257,-0.015046211,-0.002233956,-0.026870163
29/7/2011,-0.024344532,-0.018584338,-0.016477949,-0.038329722,-0.066748213,0.011673267,0.010583136,-0.053935368,-0.01091492,-0.031963773
31/8/2011,-0.08444013,-0.013927684,-0.04573758,-0.029657545,-0.068561873,-0.101048161,-0.065991317,-0.019082758,0.016643087,-0.086096342
30/9/2011,-0.196841512,-0.05446589,-0.061637405,-0.04517055,-0.095419477,-0.131600148,-0.03414373,-0.02661274,-0.007287081,-0.110661673
31/10/2011,0.19488764,0.076570248,0.103732053,0.057166858,0.147726968,0.173357069,0.117908706,0.032035567,0.044451241,0.137879724
30/11/2011,-0.00058771,0.005680728,0.00070255,0.011480072,0.009277218,0.019616642,-0.018824604,0.003744263,0.011542779,-0.037726073
30/12/2011,-0.035589114,0.014617763,0.01453936,0.029521821,0.005834684,-0.012302211,-0.013176089,0.036741406,0.032351451,0.023410256
31/1/2012,0.11095122,0.010927626,0.049511139,0.037852166,0.076446757,0.019309116,0.08349389,-0.015475684,-0.032669658,0.070879162
29/2/2012,-0.000768403,0.045452008,0.040943509,0.015768903,0.030237581,0.062898122,0.072682733,0.039100876,0.007126637,0.04950634
30/3/2012,-0.009381729,0.030289009,0.04344006,0.042857959,0.017518733,-0.033196565,0.050798141,0.01206414,0.012617237,0.066119756
30/4/2012,-0.005966243,-0.001675476,0.012336734,-0.001716926,-0.007710981,-0.011658175,-0.025726736,0.04525242,0.016605472,-0.013047842
31/5/2012,-0.104199206,-0.034707684,-0.039808886,-0.03463544,-0.067018893,-0.106437927,-0.079659846,0.016731017,-0.00104856,-0.082690678
29/6/2012,0.038906048,0.012779839,0.036120792,0.059171373,0.03402155,0.054018717,0.026071016,0.056153305,0.039233981,0.049195094
31/7/2012,-0.014936466,0.019662325,0.003208119,0.01007444,0.002557163,0.0419795,0.002398168,0.061790458,0.028191143,0.002025227
31/8/2012,0.033538589,0.01074373,0.033819796,0.016936241,0.020638936,0.024749373,0.054128737,-0.022105164,-0.038289419,0.027790593
28/9/2012,0.034310609,0.013411409,0.030613775,0.041618034,0.019700945,0.033302762,0.008658451,0.042099525,0.014323005,0.029689637
31/10/2012,-0.009494103,-0.003033127,-0.013442474,-0.012426412,-0.001511314,-0.023491588,-0.073465714,-0.041167964,0.012397619,0.013762896
30/11/2012,0.000965406,0.029505745,0.023932443,0.008450609,0.020392718,-0.012260645,0.00846336,-0.009979784,-0.037953139,-0.002682447
31/12/2012,0.040255356,-0.00983953,0.001602622,-0.002670115,0.026439754,0.009130693,0.001637528,-0.004797096,0.000482504,0.039523663
31/1/2013,0.02803532,0.05972389,0.062761807,0.075468521,0.059075108,0.082050762,0.012622013,0.031885096,0.050408782,0.060497729
28/2/2013,-0.026476272,0.028446458,0.008745813,0.012838377,0.02594457,0.003586377,0.002564163,0.021052299,0.024158814,0.014694653
29/3/2013,0.017777974,0.043340575,0.052137311,0.06527956,0.029098817,0.021590655,0.023492079,0.03187017,0.05460678,0.040820822
30/4/2013,-0.004616085,0.030968196,0.024976092,0.032896073,-0.005815883,-0.009032788,0.00525232,0.072436416,0.056374236,0.024565302
31/5/2013,0.029305465,-0.003754747,0.023061253,0.016465068,0.044726302,0.025041244,0.043226074,-0.066398503,-0.081131316,0.044871685
28/6/2013,-0.061066926,0.000271246,0.004088767,-0.007960969,-0.017689591,-0.020680106,-0.037607007,0.015049967,0.013054449,-0.011975752
31/7/2013,0.058753295,0.042160249,0.057388092,0.07670981,0.060580643,0.052130961,0.04886576,0.004097273,0.043269726,0.048683706
30/8/2013,-0.000617061,-0.031525609,-0.035032212,-0.034483651,-0.021918427,-0.016021502,-0.003901554,-0.037341475,-0.052347033,-0.048490437
30/9/2013,0.046627491,0.025028988,0.054493123,0.032485459,0.056601594,0.023838241,0.027670196,0.000274457,0.01367952,0.032047319
31/10/2013,0.044651939,0.048918442,0.050720356,0.036175073,0.043105468,0.042902432,0.044732937,0.083564525,0.039026394,0.035763434
29/11/2013,0.013280626,0.017899887,0.035711895,0.047889865,0.03361332,0.004676041,0.036011731,-0.023718418,-0.020678067,0.036810679
31/12/2013,0.047967714,0.011680341,0.022392305,0.007961555,0.042964336,0.02919877,0.041812568,0.009885011,0.012596136,0.024513425
