,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,rf,exmkt
2003-06-13,0.016973,-0.014081,0.040461,-0.002983,-0.003325,0.005138,-0.033781,1e-05,0.010155,-0.030485,0.00025,0.0007
2003-06-20,-0.013443,0.028729,0.009856,-0.002315,-0.013898,-0.028963,0.011153,-0.00638,-0.009631,0.015432,0.00025,0.0065
2003-06-27,0.00393,-0.010213,0.023552,0.001241,-0.001701,0.011457,-0.010305,-0.000358,0.000562,0.000223,0.00025,-0.0165
2003-07-04,0.01553,-0.015831,-0.004403,0.009763,-0.015024,0.003793,-0.017412,0.008271,0.01751,-0.015154,0.00017,0.0111
2003-07-11,-0.030586,0.052872,-0.041852,-0.004698,-0.020328,-0.00206,0.037287,-0.015905,-0.014802,0.040316,0.00017,0.0165
2003-07-18,0.025894,-0.030619,0.021438,0.012434,0.007882,-0.012419,-0.024103,0.00144,0.015326,-0.025862,0.00017,-0.007
2003-07-25,0.027621,-0.062443,0.038096,0.015773,0.010425,-0.012567,-0.059038,0.019017,0.014645,-0.042348,0.00017,0.0056
2003-08-01,0.010417,-0.028542,0.017157,0.004992,0.004005,0.004298,-0.010585,0.003454,0.000364,-0.008801,0.00017,-0.0152
2003-08-08,0.006672,-0.021765,0.013211,-0.002045,-0.005008,-0.005476,-0.004273,0.012566,-0.001635,-0.00778,0.00017,-0.007
2003-08-15,-0.002065,0.006984,-0.008455,-0.014444,-0.006856,-0.002282,0.004653,-0.02184,-0.000806,0.009234,0.00017,0.0174
2003-08-22,0.001695,-0.024383,0.026805,-0.001384,0.023997,0.007799,0.000216,-0.001475,-0.001699,0.001674,0.00017,0.0071
2003-08-29,-0.035493,0.055203,-0.060099,0.001867,-0.014972,-0.027774,0.026605,-0.01179,-0.007853,0.038409,0.00017,0.0166
