Week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
17/8/2001,-0.032645021,0.034174074,-0.01686107,-0.070639371,-0.007483317,0.044951147,0.047165286,-0.037437153,-0.034019685,-0.028932601,-0.037412718,0.00013
24/8/2001,0.030799473,-0.024021424,0.113740155,0.096479427,-0.006142618,-0.17159435,-0.046662895,-0.048674192,-0.111183929,0.001653784,-0.020145729,0.00013
31/8/2001,-0.083481646,0.034617265,0.049412539,-0.071417464,-0.023584311,-0.057623917,-0.004461262,0.033372127,-0.054137366,0.028603826,-0.01954672,0.00013
7/9/2001,-0.013219429,0.005009082,0.009778547,0.034086396,-0.033192378,-0.078862404,0.029351606,-2.79E-06,-0.018154233,0.019089435,-0.029558369,0.00018
14/9/2001,0.018493321,-0.010952537,0.087111632,0.015974405,-0.022302131,-0.042627327,-0.001725118,0.031617734,-0.012075921,-0.01092354,-0.049191755,0.00018
21/9/2001,0.054255471,0.03212203,-0.093546274,0.047265527,0.021496552,0.034831209,-0.048684414,0.027481656,0.04369304,0.003067001,-0.100997268,0.00018
28/9/2001,-0.016348312,-0.007015383,0.000531144,-0.005073891,0.0203849,0.048818719,-0.043584588,0.009126522,-0.049984584,-0.016167669,-0.003739531,0.00018
5/10/2001,0.019243798,0.029228185,-0.004703471,0.060364003,0.026413965,0.087230109,-0.027864304,0.030880824,-0.018815317,0.001644745,0.071753999,1.00E-04
12/10/2001,-0.016294512,0.044006891,-0.025053368,-0.043696561,-0.054564303,-0.074054005,0.00965336,0.038277486,-0.016309526,0.023936866,0.001721487,1.00E-04
19/10/2001,-0.067653943,0.070140298,0.138632852,-0.097466623,-0.099755618,-0.034029355,0.012782757,0.019956741,-0.021621667,-0.01237465,0.016328529,1.00E-04
26/10/2001,0.015524955,-0.038054592,-0.048645521,0.035609505,-0.010177936,-0.00941368,-0.031439223,-0.032232253,-0.00519685,0.018358046,-0.032875677,1.00E-04
2/11/2001,0.000201741,-0.072497763,-0.030594193,-0.017617879,-0.003853107,0.084413785,-0.029367161,0.034239804,0.026329771,-0.020044419,0.038841383,1.00E-04
9/11/2001,-0.010325987,0.025354851,0.010247752,-0.020167432,-0.096027411,0.067749333,0.06281394,0.042108507,0.001687646,0.024426587,0.024820963,8.00E-05
16/11/2001,0.020926009,-0.045606796,-0.013940675,0.017834902,-0.064260474,0.015795583,0.029669095,-0.005139919,0.007843249,0.004609558,0.015505162,8.00E-05
23/11/2001,0.018034765,0.04927064,-0.086209842,0.018862975,0.111713483,-0.036272855,-0.008438978,0.009155315,0.018866617,-0.015613312,0.072486535,8.00E-05
30/11/2001,-0.008399342,0.021974233,-0.003156167,-0.009602784,0.00498773,-0.006148751,0.00326291,-0.000798329,0.005153948,-0.00095505,0.002790429,8.00E-05
7/12/2001,-0.005622281,-0.024217188,0.019731437,0.010789023,-0.05620397,0.021272121,0.034100343,0.003796462,0.017480073,0.00633217,-0.020787468,7.00E-05
14/12/2001,0.023943246,-0.055115098,-0.10452762,0.070491826,-0.011304685,-0.028474786,-0.008133575,0.003030983,0.102094133,0.008704029,0.056455538,7.00E-05
21/12/2001,-0.014268002,-0.009865138,-0.026881345,0.003150802,0.047066612,-0.009040349,0.001804418,0.00429125,0.008156437,-0.005400632,-0.027080371,7.00E-05
28/12/2001,-0.019130215,-0.00517298,-0.079318005,0.028204284,0.036336528,0.036524658,-0.005971003,-0.002879275,0.072200347,0.000808418,-0.022327308,7.00E-05
4/1/2002,-0.005967729,-0.020909319,0.000930411,-0.000627741,0.025957947,-0.020660621,0.00606601,-0.016980804,-0.003717326,-0.010986415,0.016720221,7.00E-05
11/1/2002,-0.013778992,0.035034797,-0.056262346,0.03366287,0.073937754,0.027639759,-0.012947349,0.001920515,0.023183061,0.001922317,0.04346941,7.00E-05
18/1/2002,-0.008046378,0.020750411,0.047841047,-0.023538228,-0.01515674,-0.053399286,0.036915745,0.026480233,-0.037127323,0.005884303,-0.057448136,7.00E-05
25/1/2002,0.058577394,-0.027248094,-0.039963387,0.034803019,0.007562614,0.103055388,-0.053194174,-0.034401016,0.064858843,-0.017208584,-0.018661074,7.00E-05
1/2/2002,-0.00669776,0.025285472,-0.047119452,-0.004724833,0.010374465,0.073685939,0.007491318,0.028944787,0.024090676,-0.001529998,-0.021162246,7.00E-05
8/2/2002,-0.046112793,0.099874868,0.086157022,-0.039852107,-0.040050272,-0.099909379,0.053823276,-0.003177276,-0.091742841,0.022320453,-0.004285133,7.00E-05
15/2/2002,0.002133375,0.048036273,0.008163926,0.030541687,0.033474807,0.012466112,0.00184171,-0.024433705,-0.012502116,0.008712749,0.010392377,7.00E-05
22/2/2002,0.021806299,-0.000580158,-0.071875886,0.007816976,-0.024327223,0.00094098,0.000228781,-0.042733421,0.033498079,-0.002310532,0.015699629,7.00E-05
1/3/2002,-0.04907248,0.033545266,-0.031810018,-0.091356856,-0.003506898,0.170715221,-0.074044921,-0.024047613,0.006651663,-0.008274093,-0.046060052,7.00E-05
