,Trdwnt,Opndt,Clsdt
900,2009-16,2009-04-13,2009-04-17
901,2009-17,2009-04-20,2009-04-24
902,2009-18,2009-04-27,2009-04-30
903,2009-19,2009-05-04,2009-05-08
904,2009-20,2009-05-11,2009-05-15
905,2009-21,2009-05-19,2009-05-22
906,2009-22,2009-05-25,2009-05-27
907,2009-23,2009-06-01,2009-06-05
2481,2009-24,2009-06-08,2009-06-12
908,2009-25,2009-06-15,2009-06-19
909,2009-26,2009-06-22,2009-06-26
910,2009-27,2009-06-30,2009-07-03
911,2009-28,2009-07-06,2009-07-10
912,2009-29,2009-07-13,2009-07-17
913,2009-30,2009-07-20,2009-07-24
914,2009-31,2009-07-27,2009-07-30
915,2009-32,2009-08-03,2009-08-07
916,2009-33,2009-08-10,2009-08-14
917,2009-34,2009-08-17,2009-08-21
918,2009-35,2009-08-24,2009-08-28
919,2009-36,2009-08-31,2009-09-04
920,2009-37,2009-09-07,2009-09-11
921,2009-38,2009-09-14,2009-09-18
922,2009-39,2009-09-21,2009-09-25
923,2009-40,2009-09-28,2009-09-30
924,2009-41,2009-10-09,2009-10-09
925,2009-42,2009-10-12,2009-10-16
926,2009-43,2009-10-19,2009-10-23
927,2009-44,2009-10-26,2009-10-30
928,2009-45,2009-11-02,2009-11-06
929,2009-46,2009-11-09,2009-11-13
930,2009-47,2009-11-16,2009-11-20
931,2009-48,2009-11-23,2009-11-27
932,2009-49,2009-11-30,2009-12-04
933,2009-50,2009-12-07,2009-12-11
934,2009-51,2009-12-14,2009-12-18
935,2009-52,2009-12-21,2009-12-24
936,2009-53,2009-12-29,2009-12-31
937,2010-02,2010-01-04,2010-01-08
938,2010-03,2010-01-11,2010-01-15
939,2010-04,2010-01-18,2010-01-22
940,2010-05,2010-01-25,2010-01-29
941,2010-06,2010-02-01,2010-02-05
942,2010-07,2010-02-08,2010-02-12
943,2010-09,2010-02-22,2010-02-26
944,2010-10,2010-03-02,2010-03-05
945,2010-11,2010-03-08,2010-03-12
