Date,.dMIHK0EGI0G,.dMIHK0MLI0G,.dMIHK0CGI0G,.dMIHK0TPI0G,.dMIHK0ACI0G,.dMIHK0CAI0G,.dMIHK0CVI0G,.dMIHK0RTI0G,.dMIHK0FDI0G,.dMIHK0FBI0G,.dMIHK0PBI0G,.dMIHK0BKI0G,.dMIHK0DFI0G,.dMIHK0ISI0G,.dMIHK0SSI0G,.dMIHK0THI0G,.dMIHK0SEI0G,.dMIHK0TSI0G,.dMIHK0MDI0G,.dMIHK0ULI0G,.dMIHK0REI0G
2009-09-07 00:00:00+00:00,60.08,113.719,711.092,814.188,735.288,735.635,696.309,784.06,,1296.745,539.957,1035.562,1589.866,924.008,,464.19,940.9,1105.613,555.144,1133.22,1029.929
2009-09-08 00:00:00+00:00,60.5,112.128,717.882,820.224,732.744,732.552,697.213,808.047,,1309.691,555.31,1045.521,1629.071,915.531,,469.021,917.218,1107.444,555.287,1141.923,1053.016
2009-09-09 00:00:00+00:00,58.609,112.243,709.963,816.182,703.485,725.256,705.059,823.576,,1304.262,562.126,1047.217,1608.218,936.724,,470.407,890.804,1102.875,550.474,1139.907,1053.509
2009-09-10 00:00:00+00:00,59.45,112.178,726.425,815.953,708.573,730.504,735.547,836.488,,1329.054,542.515,1061.304,1609.432,936.724,,486.104,909.021,1113.528,546.62,1144.632,1063.344
2009-09-11 00:00:00+00:00,60.5,112.225,727.938,821.775,711.118,723.826,749.601,822.811,,1313.243,546.781,1060.561,1622.142,924.008,,486.943,909.932,1115.655,547.542,1141.299,1069.643
2009-09-14 00:00:00+00:00,60.92,111.197,733.084,811.263,671.254,708.683,751.83,801.544,,1305.153,533.137,1055.447,1588.335,936.724,,499.004,923.594,1121.534,537.996,1142.797,1056.799
2009-09-15 00:00:00+00:00,60.71,109.1,725.702,804.847,646.821,701.031,759.459,795.205,,1318.115,531.432,1058.18,1590.641,962.155,,498.35,907.199,1114.271,540.048,1142.082,1050.152
2009-09-16 00:00:00+00:00,60.5,110.76,733.214,819.833,660.966,706.32,799.416,808.344,,1324.901,527.162,1079.477,1625.515,936.724,,497.131,914.486,1131.533,549.551,1150.524,1074.191
2009-09-17 00:00:00+00:00,60.5,113.595,739.556,838.57,695.687,707.786,799.828,822.181,,1316.578,525.457,1105.708,1657.932,932.485,,511.372,950.009,1125.533,550.625,1148.444,1095.487
2009-09-18 00:00:00+00:00,59.24,113.618,730.503,816.787,721.405,712.735,800.339,811.981,,1284.512,527.166,1082.392,1642.763,902.815,,508.449,911.753,1116.178,548.048,1143.521,1077.122
2009-09-21 00:00:00+00:00,59.03,111.774,730.719,812.086,722.691,705.321,823.602,841.098,,1310.618,523.752,1077.598,1639.868,873.145,,511.183,917.218,1108.523,542.421,1141.864,1070.076
2009-09-22 00:00:00+00:00,58.609,112.33,737.251,818.303,717.547,704.203,831.709,852.757,,1342.972,521.194,1078.48,1659.94,894.338,,508.269,932.703,1101.665,549.18,1154.4,1087.648
2009-09-23 00:00:00+00:00,58.609,112.798,731.84,814.951,696.972,704.847,842.546,871.132,,1291.658,516.928,1065.397,1643.491,924.008,,516.365,990.997,1097.71,550.891,1153.047,1081.752
2009-09-24 00:00:00+00:00,57.349,112.062,714.632,799.195,696.972,692.776,817.911,853.888,,1309.913,516.932,1052.814,1600.172,919.769,,507.981,955.474,1095.091,545.609,1138.239,1064.33
2009-09-25 00:00:00+00:00,57.139,111.354,712.022,802.22,682.827,692.816,819.671,846.854,,1314.537,518.637,1051.389,1590.787,919.769,,515.716,960.028,1106.361,542.792,1137.878,1067.549
2009-09-28 00:00:00+00:00,56.299,108.371,706.08,783.705,693.115,679.56,797.533,835.376,,1277.633,516.075,1038.513,1540.077,860.43,,503.074,955.474,1089.944,535.364,1136.51,1044.688
2009-09-29 00:00:00+00:00,57.139,106.943,713.86,788.886,703.402,687.508,807.76,862.133,,1279.682,522.047,1051.973,1571.903,847.714,,502.458,983.71,1100.478,547.409,1135.381,1071.662
2009-09-30 00:00:00+00:00,57.769,107.254,716.047,795.445,699.544,699.381,816.685,862.281,,1271.54,521.19,1057.516,1560.174,847.714,,504.29,1001.016,1101.0,552.257,1152.345,1084.543
2009-10-01 00:00:00+00:00,57.769,107.254,716.047,795.445,699.544,699.381,816.685,862.281,,1271.54,521.19,1057.516,1560.174,847.714,,504.29,1001.016,1101.0,552.257,1152.345,1084.543
2009-10-02 00:00:00+00:00,56.509,108.27,693.268,780.032,682.827,703.804,819.538,824.231,,1274.175,515.219,1041.226,1492.168,868.907,,494.221,1009.214,1095.418,553.385,1137.618,1051.675
2009-10-05 00:00:00+00:00,56.299,107.314,690.505,771.738,696.972,697.43,818.373,806.013,,1239.87,512.657,1037.656,1499.956,894.338,,497.464,998.283,1097.776,547.306,1140.737,1040.112
2009-10-06 00:00:00+00:00,57.559,105.466,691.39,796.868,705.974,701.047,831.389,821.658,,1273.032,523.736,1042.314,1522.072,915.531,,512.31,1029.252,1106.317,552.717,1137.102,1054.234
2009-10-07 00:00:00+00:00,58.609,107.176,697.506,813.078,731.692,720.328,843.809,857.459,,1314.306,528.006,1053.636,1562.199,915.531,,523.372,1020.144,1111.467,558.059,1146.426,1076.828
2009-10-08 00:00:00+00:00,58.189,105.811,709.001,815.195,729.121,729.542,851.692,867.507,,1321.322,528.863,1069.189,1574.292,1017.257,,523.605,1004.659,1109.704,554.601,1150.109,1100.373
2009-10-09 00:00:00+00:00,65.962,105.817,702.77,823.393,726.549,735.609,871.468,892.738,,1319.296,524.596,1071.638,1552.44,1034.211,,525.659,1003.748,1111.184,562.636,1149.992,1104.116
2009-10-12 00:00:00+00:00,64.911,103.011,700.139,816.747,707.26,733.984,877.027,873.254,,1316.779,533.129,1061.37,1538.751,1042.688,,523.719,1011.946,1111.594,573.084,1142.45,1097.455
2009-10-13 00:00:00+00:00,65.332,104.135,697.365,821.213,716.261,743.252,858.832,888.382,,1306.262,531.424,1061.174,1534.109,1059.642,,528.73,1053.845,1105.984,568.425,1147.561,1103.424
2009-10-14 00:00:00+00:00,66.382,104.789,708.735,825.092,740.694,746.306,860.582,912.17,,1302.887,533.129,1082.961,1557.088,1055.404,,538.421,1107.585,1106.834,575.279,1156.138,1119.051
2009-10-15 00:00:00+00:00,65.332,106.484,703.912,830.31,770.27,741.398,846.364,935.906,,1265.087,532.273,1084.714,1561.876,1029.972,,561.72,1074.794,1108.325,576.356,1156.279,1115.513
2009-10-16 00:00:00+00:00,65.122,102.453,710.201,825.724,754.839,739.041,848.601,924.908,,1227.06,528.01,1072.396,1559.294,1021.495,,563.063,1073.883,1111.02,571.617,1156.926,1115.049
2009-10-19 00:00:00+00:00,64.281,103.57,723.294,830.082,762.555,735.739,858.043,949.628,,1257.274,542.511,1085.991,1580.834,1042.688,,587.368,1057.488,1117.735,573.629,1157.305,1124.499
2009-10-20 00:00:00+00:00,64.701,106.512,745.305,845.665,758.697,738.764,861.65,944.75,,1279.566,552.745,1085.395,1596.451,1042.688,,603.766,1083.903,1130.025,609.489,1150.382,1171.363
2009-10-21 00:00:00+00:00,65.122,106.303,750.717,844.835,748.409,756.072,858.554,948.477,,1281.721,561.27,1076.204,1614.325,1038.449,,590.024,1056.577,1127.215,593.981,1145.86,1178.819
2009-10-22 00:00:00+00:00,65.332,105.59,740.416,830.773,734.264,749.008,853.721,922.64,,1270.851,579.176,1073.52,1614.198,,,608.109,1031.985,1120.209,586.371,1138.332,1171.71
2009-10-23 00:00:00+00:00,68.903,106.167,743.412,841.643,747.124,757.802,871.876,927.485,,1283.763,583.435,1085.121,1618.111,,,619.48,1071.151,1124.457,609.918,1145.344,1170.631
2009-10-26 00:00:00+00:00,68.903,106.167,743.412,841.643,747.124,757.802,871.876,927.485,,1283.763,583.435,1085.121,1618.111,,,619.48,1071.151,1124.457,609.918,1145.344,1170.631
2009-10-27 00:00:00+00:00,73.734,105.798,724.074,821.912,771.556,750.89,859.043,918.989,,1252.426,576.611,1075.293,1604.373,,,619.661,1062.042,1113.72,608.1,1135.789,1138.83
2009-10-28 00:00:00+00:00,72.474,104.779,711.403,815.401,772.842,739.096,843.727,908.359,,1236.692,609.041,1072.016,1565.623,,,611.403,1077.527,1134.621,596.342,1135.939,1117.936
2009-10-29 00:00:00+00:00,68.903,101.51,700.018,796.738,771.556,723.957,815.173,885.381,,1219.747,588.562,1059.434,1530.857,,,591.524,1037.45,1115.609,586.955,1131.856,1092.687
2009-10-30 00:00:00+00:00,70.163,101.815,713.356,818.202,797.275,739.029,835.858,895.226,,1227.443,600.505,1079.415,1556.75,,,594.821,1118.515,1110.91,598.638,1133.134,1137.37
2009-11-02 00:00:00+00:00,69.743,100.805,706.341,806.202,801.133,738.997,830.831,873.79,,1207.455,600.505,1065.38,1549.837,,,589.443,1087.546,1112.2,594.136,1124.555,1124.43
